,Tweet,Emotion
48,AAL AU Deutsche Bank APAC CEO Chadha to leave source APAC COAL LTD ASX2000,Trust
49,AAL American Airlines stock w confirmed breakdown below 30 55 volume 38 normal,Surprise
50,Four stocks making new 52 week lows in Tuesday’s session JD AAL IMGN UAL,Trust
51,Ugly day takes some airline names down to 52 week lows AAL JBLU UAL SAVE ALK HA LUV JETS,Joy
52,AAL You people are still here,Surprise
53,Do you know that Book Value for AAL is 8 04,Trust
54,AAL 30 Puts SELLING Activity expiring on 19th Jan Vol 2000,Trust
55,AAL American Airlines Back At October 2014 Levels,Trust
56,AAL DAL FDX IYT UAL,Trust
57,StockTwits RT LaMonicaBuzz Best times over for airlines AAL DAL JBLU LUV UAL trending on StockTwits And all falling Terrorism fea…,Fear
58,Out AAL ALREADY I hate how its acting during the rally I hate the candle forming when SPY only down 5 points,Anger
59,RT Best times over for airlines AAL DAL JBLU LUV UAL trending on And all falling Terrorism fears Brexit…,Fear
60,JBLU and AAL right near their 52 week lows airlines down 3 5 today not many talking about it DAL SAVE LUV,Trust
61,NEW POST Close Enough for the Mile High Club AAL DAL FDX IYT UAL,Trust
62,RT American Airlines Group Nearing Bounce Level AAL stockchart,Trust
63,Losing altitude Airline stocks off 3 5 today LUV RYAAY HA SAVE At new yearly lows UAL AAL JBLU ALK retesting Feb low,Joy
64,Ugly day takes some airline names down to 52 week lows AAL JBLU UAL SAVE ALK HA LUV JETS,Joy
65,Ugly day takes some airline names down to 52 week lows AAL JBLU UAL SAVE,Trust
66,Ugly day takes some airline names down to 52 week lows AAL JBLU UAL SAVE,Trust
67,Ugly day takes some airline names down to 52 week lows AAL JBLU UAL SAVE,Trust
68,Ugly day takes some airline names down to 52 week lows AAL JBLU UAL SAVE,Trust
69,RT Best times over for airlines AAL DAL JBLU LUV UAL trending on And all falling Terrorism fears Brexit…,Fear
70,StockTwits RT LaMonicaBuzz Best times over for airlines AAL DAL JBLU LUV UAL trending on StockTwits And all falling Terrorism fea…,Fear
71,RT Best times over for airlines AAL DAL JBLU LUV UAL trending on And all falling Terrorism fears Brexit…,Fear
72,RT Best times over for airlines AAL DAL JBLU LUV UAL trending on And all falling Terrorism fears Brexit…,Fear
73,RT Best times over for airlines AAL DAL JBLU LUV UAL trending on And all falling Terrorism fears Brexit…,Fear
74,RT Best times over for airlines AAL DAL JBLU LUV UAL trending on And all falling Terrorism fears Brexit…,Fear
75,ugh more AAL,Joy
76,AAL DAL JBLU LUV UAL Season strength of Airline is not ready until Sept We stopped out from DAL and UAL,Trust
77,Btw Estimated Earnings Per Share for AAL is 1 68 it s 5 28 of the current price,Joy
78,HedgeMind AAL Comparing its price chart to its Fund Owner chart we might have seen today coming …,Surprise
79,I dont understand why airline stocks are losing altitude Were in peak summer travel season load factors all up LUV AAL,Trust
80,Best times over for airlines AAL DAL JBLU LUV UAL trending on And all falling Terrorism fears Brexit concerns Both,Fear
81,HedgeMind AAL Comparing its price chart to its Fund Owner chart we might have seen today coming …,Surprise
82,American Airlines Group Nearing Bounce Level AAL stockchart,Trust
83,AAL Comparing its price chart to its Fund Owner chart we might have seen today coming,Surprise
84,AAL Orlando shootings aren t going to stop family vacations to Disneyland DIS,Sadness
85,AAL DAL this hate on the airlines is incredible,Trust
86,whats that AAL just hit a 52 week low at 30 bucks a share sounds like I need to buy some shares American Airlines isn t going anywhere,Trust
87,UAL breaking its WEEKLY box Price point to ponder below IYT AAL JBLU DAL,Trust
88,American Airlines Group hits a 1 year low AAL AmericanAirlinesGroup,Surprise
89,AmericanAirlines AA s regional carriers bump up bonuses for new pilots Read more AAL,Surprise
90,powerhour watch LBIX VHC SWHC BSPM EXAS VMRI NUGT UVXY MPAA GE AAL gl trade smart daytrade learn,Surprise
91,BlackRock Inc Has 28 678 000 Position in American Airlines Group Inc AAL AAL stocks…,Trust
92,Wondering about risks of AAL The 63 day volatility is 15 08,Fear
93,AAL I like banging a good housewife while their husband is off to work,Surprise
94,American Airlines trading at 52 week low and lowest since 2014 AAL,Joy
95,airlines continuing swoon today AAL 52 week lows UAL right behind it Dal also bad,Trust
96,AAL JBLU LUV airlines taking it a bit on the chin today,Trust
97,American Airlines Group Inc AAL Close to 52 Week Low AAL investor stocks investing,Surprise
98,AAL One Reason American Airlines AAL Stock Is Lower Today,Trust
99,One Reason American Airlines AAL Stock Is Lower Today,Trust
